id,name,description,latitude,longitude,city,region,category,activities,estimated_cost,avg_duration_hours,mood_tags,rating
109,Katpana Desert (Cold Desert),One of the highest cold deserts in the world with sand dunes surrounded by snow-capped mountains.,35.286372,75.640075,Skardu,Gilgit-Baltistan,Desert,Photography; Sightseeing; Camel Riding; Jeep Safari; Stargazing,3000 PKR,3,family; friends; adventurous; thrilling,4.6
110,Shigar Fort (Fong Khar),A beautifully restored 400-year-old fort converted into a heritage hotel showcasing Balti architecture.,35.426,75.75,Shigar,Gilgit-Baltistan,Fort,Photography; Sightseeing; Dining; History Tours,300 PKR,1.5,family; couple; cultural; educational,4.6
111,Shigar Mosque (Amburiq Mosque),A 600-year-old wooden mosque in Shigar with intricate Tibetan-style carvings.,35.413492,75.738189,Shigar,Gilgit-Baltistan,Mosque,Photography; Sightseeing,0 PKR,0.5,family; peaceful; cultural; educational; spiritual,4.6
112,Basho Valley,"A lush green valley near Skardu known for its trout streams, camping spots, and pine forests.",35.286372,75.640075,Skardu,Gilgit-Baltistan,Valley,Hiking; Camping; Photography; Sightseeing; Fishing; Nature Walks,800 PKR,5,family; friends; relaxed; peaceful; adventurous,4.6
113,Blind Lake (Zhangmo Khar Tso),"A hidden lake near Skardu accessible by a 20-minute walk, surrounded by willow trees.",35.286372,75.640075,Skardu,Gilgit-Baltistan,Lake,Photography; Sightseeing; Boating; Picnicking,1000 PKR,2,couple; solo; peaceful; meditative,4.6
114,Manthal Buddha Rock,"A large boulder near Skardu with an 8th-century carved image of Buddha, a historical treasure.",0.000000,0.000000,Skardu,Gilgit-Baltistan,Archaeological Site,Photography; Sightseeing; History Tours,0 PKR,1,family; couple; cultural; educational; spiritual,4.1
115,Skardu Bazaar,"The bustling main market of Skardu town offering local crafts, gemstones, and traditional Balti food.",35.30002,75.633642,Skardu,Gilgit-Baltistan,Market,White-water Rafting; Shopping; Food Tasting,500 PKR,2,family; friends; laid-back; festive,4.2
116,Indus River Skardu Viewpoint,A scenic viewpoint where the mighty Indus River flows through the broad Skardu Valley.,35.302319,75.624612,Skardu,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,family; couple; solo; peaceful; romantic,4.5
117,Skardu Airport Viewpoint,A unique viewpoint near the airport offering views of planes landing between mountains.,35.348347,75.485812,Skardu,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,family; couple; solo; peaceful; romantic,4.4
118,Soq Valley,A scenic valley near Skardu with terraced fields and fruit orchards along a mountain stream.,35.286808,75.641831,Skardu,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks; Walking,0 PKR,5,family; couple; friends; relaxed; peaceful,5.0
119,Kachura Village,A traditional Balti village near the famous Kachura lakes offering homestay experiences.,35.286372,75.640075,Skardu,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks; Homestay Experience,0 PKR,2,family; couple; peaceful; cultural; educational,4.2
120,Skardu Rock Carvings,Ancient petroglyphs scattered around the Skardu Valley depicting hunting scenes and Buddhist symbols.,35.286372,75.640075,Skardu,Gilgit-Baltistan,Archaeological Site,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational,4.2
121,Deosai Wildflower Plains,Vast meadows in Deosai that bloom with wildflowers during July-August creating colorful carpets.,35.286372,75.640075,Skardu,Gilgit-Baltistan,Meadow,Hiking; Camping; Photography; Picnicking; Stargazing,1000 PKR,4,family; couple; friends; adventurous; relaxed; peaceful; romantic; meditative,4.8
122,Bara Pani (Deosai),A large lake in the Deosai Plains known for its wildlife and pristine environment.,35.286372,75.640075,Skardu,Gilgit-Baltistan,Lake,Photography; Sightseeing; Boating; Wildlife Watching; Picnicking,1000 PKR,2,friends; solo; adventurous; peaceful,4.8
123,Sadpara Village,"A village near Satpara Lake known for mountaineering heritage, home of the late Ali Sadpara.",35.253682,75.639561,Skardu,Gilgit-Baltistan,Village,Mountaineering; Photography; Cultural Tours; Village Walks,1000 PKR,2,family; couple; peaceful; cultural,4.3
124,K2 Base Camp Trailhead (Askole),The starting point for treks to K2 and Concordia in the remote Askole village.,35.286372,75.640075,Skardu,Gilgit-Baltistan,Adventure Spot,Trekking; Mountaineering; Camping; Photography,5000 PKR,168,solo; friends; adventurous; energetic,4.9
125,Askole Village,"The last inhabited settlement before the Karakoram glaciers, gateway to K2 expeditions.",35.286372,75.640075,Skardu,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,24,adventurous; energetic; peaceful; cultural; educational,4.2
126,Concordia (Throne Room of the Mountain Gods),A spectacular confluence of glaciers at the base of K2 and four other 8000m peaks.,35.286372,75.640075,Skardu,Gilgit-Baltistan,Adventure Spot,Trekking; Mountaineering; Camping; Photography,5000 PKR,192,solo; friends; adventurous; energetic; meditative,4.9
127,Baltoro Glacier,One of the longest non-polar glaciers in the world leading to K2 and the Karakoram heartland.,35.286372,75.640075,Skardu,Gilgit-Baltistan,Glacier,Trekking; Mountaineering; Camping; Photography; Ice Hiking,5000 PKR,168,solo; friends; adventurous; energetic,4.9
128,Biange Campsite,A trekking campsite on the Baltoro Glacier trail with views of Trango Towers.,35.286372,75.640075,Skardu,Gilgit-Baltistan,Camping Site,Trekking; Hiking; Camping; Photography; Stargazing,500 PKR,4,friends; adventurous; energetic; relaxed; peaceful; romantic; meditative,4.5
129,Trango Towers Viewpoint,"Viewpoint of the dramatic Trango Towers including the world's highest rock wall, Great Trango Tower.",35.286372,75.640075,Skardu,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,family; couple; solo; peaceful; romantic,4.8
130,Paiju Peak Viewpoint,Campsite and viewpoint offering views of the dramatic 6610m Paiju Peak.,35.715143,76.116876,Skardu,Gilgit-Baltistan,Viewpoint,Camping; Photography; Sightseeing,1000 PKR,12,solo; friends; adventurous; energetic,4.0
131,Shigar Valley,A green valley known as the 'Valley of Kings' with ancient forts and Buddhist heritage.,0.000000,0.000000,Shigar,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful; cultural; educational,4.7
132,Shigar Stream Walk,A scenic walking trail along the Shigar stream passing through traditional villages and farmland.,35.422616,75.737108,Shigar,Gilgit-Baltistan,Adventure Spot,Photography; Walking,0 PKR,2.5,family; friends; adventurous; thrilling; energetic,4.7
133,Katpana Lake,A small lake near the cold desert of Katpana offering a surreal desert-lake combination.,35.318567,75.574246,Skardu,Gilgit-Baltistan,Lake,Photography; Sightseeing,0 PKR,2.5,family; couple; friends; relaxed; peaceful; cultural; educational,4.6
134,Skardu Polo Ground,A traditional polo ground in Skardu where the ancient sport of free-style polo is played.,35.300341,75.637271,Skardu,Gilgit-Baltistan,Adventure Spot,Photography; Polo Watching,0 PKR,2.5,family; friends; adventurous; thrilling; energetic; cultural; educational,4.7
135,Ali Ghund Nala Valley,A scenic stream valley near Skardu with walking trails through willow-lined paths.,35.304519,75.635461,Skardu,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful,4.6
136,Deosai Bear Watching Point,Designated wildlife watching area in Deosai for spotting the endangered Himalayan brown bear.,35.286372,75.640075,Skardu,Gilgit-Baltistan,Park,Photography; Wildlife Watching; Walking; Picnicking,1000 PKR,3,family; couple; friends; relaxed; peaceful,4.4
137,Hushe Valley,A remote valley leading to some of the highest peaks in the Karakoram including Masherbrum.,0.000000,0.000000,Skardu,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,friends; solo; relaxed; peaceful,4.7
138,Hushe Village,A traditional Balti village serving as the base for Masherbrum and Laila Peak expeditions.,35.286372,75.640075,Skardu,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,24,adventurous; energetic; peaceful; cultural; educational,4.2
139,Masherbrum Base Camp Trail,Trekking route to the base of the 7821m Masherbrum (K1) through pristine mountain terrain.,35.286372,75.640075,Skardu,Gilgit-Baltistan,Adventure Spot,Trekking; Camping; Photography,2000 PKR,24,solo; friends; adventurous; energetic,4.8
140,Sarfaranga Cold Desert,Another cold desert near Skardu with unique sand dune formations amidst mountain scenery.,35.312872,75.752838,Skardu,Gilgit-Baltistan,Desert,Photography; Sightseeing; Jeep Safari; Stargazing,3000 PKR,3,family; friends; adventurous; thrilling,5.0
141,Khamosh Waterfall,A scenic waterfall near Skardu accessible via a short hike through rocky terrain.,35.286372,75.640075,Skardu,Gilgit-Baltistan,Waterfall,Hiking; Photography; Sightseeing,0 PKR,1,family; couple; friends; adventurous; energetic; peaceful; romantic,4.5
142,Shigar Rock Carvings,Ancient Buddhist rock carvings in the Shigar Valley depicting religious scenes.,35.433921,74.08649,Shigar,Gilgit-Baltistan,Archaeological Site,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational,4.2
143,Thowar Village,A remote village in Shigar valley known for its ancient wooden mosque and traditional lifestyle.,32.429268,74.37993,Shigar,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; solo; peaceful; cultural; educational,4.2
144,Skardu Floating Rock,"A geological curiosity where a massive rock appears to float, a local attraction near the town.",35.286372,75.640075,Skardu,Gilgit-Baltistan,Historical Site,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational,4.3
145,Biafro Glacier,A major glacier in Shigar accessible via multi-day trek connecting to Hispar Glacier.,36.0,75.6,Shigar,Gilgit-Baltistan,Glacier,Trekking; Photography; Ice Hiking,2000 PKR,6,solo; friends; adventurous; energetic,4.5
146,Snow Lake,"A massive ice plateau at the head of the Biafo Glacier, one of the largest glacial basins outside polar regions.",36.049363,75.577306,Shigar,Gilgit-Baltistan,Glacier,Trekking; Mountaineering; Camping; Photography; Ice Hiking,5000 PKR,168,solo; friends; adventurous; energetic,4.6
147,Skardu Cultural Museum,"A small museum showcasing Balti culture, traditional utensils, clothing, and historical artifacts.",35.286372,75.640075,Skardu,Gilgit-Baltistan,Museum,Photography; Sightseeing; Museum Visit,100 PKR,1.5,family; couple; cultural; educational,4.3
148,Manthoka Village,The village near Manthoka Waterfall with terraced farms and traditional Balti houses.,35.286372,75.640075,Skardu,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.2
149,Sadpara Lake Trail,A walking trail around the perimeter of Satpara Lake offering different perspectives of the lake.,35.286808,75.641831,Skardu,Gilgit-Baltistan,Adventure Spot,Photography; Walking,0 PKR,2.5,family; friends; adventurous; thrilling; energetic,4.7
150,Deosai Camping Ground,Designated camping areas in the Deosai plateau for overnight stays under the vast sky.,35.286372,75.640075,Skardu,Gilgit-Baltistan,Camping Site,Hiking; Camping; Photography; Stargazing,1000 PKR,4,family; friends; adventurous; relaxed; peaceful; romantic; meditative,4.5
151,Burji La Pass,A mountain pass connecting Skardu to Deosai Plains with sweeping views of the plateau.,0.000000,0.000000,Skardu,Gilgit-Baltistan,Pass,Photography; Sightseeing,0 PKR,1.5,family; couple; friends; adventurous; peaceful,5.0
152,Skardu Jewel Market,"A market specializing in locally mined gemstones including rubies, emeralds, and aquamarines.",35.286372,75.640075,Skardu,Gilgit-Baltistan,Market,Shopping; Food Tasting,500 PKR,2,family; friends; laid-back; festive,4.1
153,Thorgo Valley,A scenic valley near Skardu known for its hot springs and traditional Balti settlements.,35.303493,75.767161,Skardu,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful,5.0
154,Dongal Village,A quiet village near Skardu with terraced fields and panoramic views of the Indus Valley.,35.286372,75.640075,Skardu,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; romantic; cultural; educational,4.2
155,Satpara Dam,A modern dam on Satpara Lake providing drinking water to Skardu town with surrounding scenic walks.,35.246929,75.640541,Skardu,Gilgit-Baltistan,Historical Site,Photography; Sightseeing; Walking; History Tours,0 PKR,1.5,family; couple; cultural; educational,4.3
156,Chaqchan Mosque,A 14th-century mosque in Skardu with Tibetan-influenced architecture and ancient carvings.,35.156100,76.330600,Skardu,Gilgit-Baltistan,Mosque,Photography; Sightseeing,0 PKR,0.5,family; peaceful; cultural; educational; spiritual,4.2
157,Skardu Trout Hatchery,A trout breeding facility near Skardu where visitors can see the aquaculture process.,35.286372,75.640075,Skardu,Gilgit-Baltistan,Park,Photography; Fishing; Walking; Picnicking,300 PKR,1,family; relaxed; educational,4.2
158,Rock of Gibraltar (Skardu),A massive rock formation near Skardu town resembling the famous Rock of Gibraltar.,35.286372,75.640075,Skardu,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,family; couple; solo; peaceful; romantic,4.5
159,Kachura Forest Walk,A woodland walking trail through pine and willow trees near the Kachura lakes.,35.304519,75.635461,Skardu,Gilgit-Baltistan,Forest,Hiking; Photography; Birdwatching; Nature Walks,0 PKR,3,family; couple; solo; relaxed; peaceful; meditative,4.5
160,Mehdiabad Skardu,A village near Skardu known for its traditional architecture and warm Balti hospitality.,35.306399,75.617162,Skardu,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.2
161,Deosai Sunset Point,A designated viewing spot in Deosai for watching spectacular sunsets over the plateau.,35.286372,75.640075,Skardu,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing; Sunset Viewing,1000 PKR,1,family; couple; solo; peaceful; romantic,4.5
162,Roundu Valley,A scenic valley along the Indus River between Skardu and Gilgit with dramatic landscapes.,35.286372,75.640075,Skardu,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful,4.6
163,Basho Forest Camp,A forest camping area in Basho Valley with trout fishing and hiking opportunities.,35.286372,75.640075,Skardu,Gilgit-Baltistan,Camping Site,Hiking; Camping; Photography; Fishing; Stargazing,500 PKR,4,family; friends; adventurous; relaxed; peaceful; romantic; meditative,4.5
164,Upper Satpara Lake,A smaller lake above Satpara Lake accessible via a short but steep trek.,35.228571,75.629993,Skardu,Gilgit-Baltistan,Lake,Photography; Sightseeing; Boating; Picnicking,1000 PKR,2,couple; friends; relaxed; peaceful,4.3
165,Kharfak Valley,A hidden valley near Shigar with pristine forests and seasonal waterfalls.,35.477582,75.654958,Shigar,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; solo; relaxed; peaceful; meditative,4.6
166,Kargah Buddha,"A 7th-century rock carving of a standing Buddha on a cliff face near Gilgit, a Buddhist heritage site.",0.000000,0.000000,Gilgit,Gilgit-Baltistan,Archaeological Site,Photography; Sightseeing; History Tours,0 PKR,1,family; couple; cultural; educational; spiritual,4.2
167,Kargah Nala,A scenic gorge near Gilgit with hiking trails leading to the famous Buddha rock carving.,35.925562,74.174128,Gilgit,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,2,family; friends; relaxed; peaceful,5.0
168,Gilgit River,The main river flowing through Gilgit city offering riverside walks and fishing spots.,35.954203,74.34426,Gilgit,Gilgit-Baltistan,River,Photography; Fishing; Walking,500 PKR,2,family; friends; relaxed; peaceful,5.0
169,Jutial Park,"A large public park in Gilgit with walking trails, gardens, and mountain views.",35.92081,74.314044,Gilgit,Gilgit-Baltistan,Park,Photography; Walking; Picnicking,0 PKR,3,family; couple; friends; relaxed; peaceful,5.0
170,Gilgit Bazaar,The main commercial area of Gilgit city with shops selling local handicrafts and dry fruits.,35.923189,74.30351,Gilgit,Gilgit-Baltistan,Market,White-water Rafting; Shopping; Food Tasting,500 PKR,2,family; friends; laid-back; festive,5.0
171,Aga Khan Park Gilgit,A well-maintained public park in Gilgit with gardens and recreational facilities.,35.921222,74.382514,Gilgit,Gilgit-Baltistan,Park,Photography; Walking; Picnicking,30 PKR,3,family; couple; friends; relaxed; peaceful,4.0
172,Gilgit Manuscripts Site,The discovery site of ancient Buddhist manuscripts that are now preserved in museums worldwide.,35.92081,74.314044,Gilgit,Gilgit-Baltistan,Archaeological Site,Photography; Sightseeing; History Tours; Museum Visit,50 PKR,1.5,family; couple; cultural; educational,5.0
173,Gilgit Serena Hotel Grounds,The landscaped grounds of the Serena Hotel offering mountain views and gardens.,35.900742,74.354594,Gilgit,Gilgit-Baltistan,Park,Photography; Walking; Picnicking,30 PKR,3,family; couple; friends; relaxed; peaceful,4.0
174,Confluence of Gilgit and Hunza Rivers,The dramatic meeting point of the Gilgit and Hunza rivers visible from the KKH.,35.92081,74.314044,Gilgit,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,family; couple; solo; peaceful; romantic,5.0
175,Danyore Village,A village near Gilgit known for its ancient Buddhist rock carvings and strategic location.,35.894116,74.437725,Gilgit,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.0
176,Oshikhandass Rock Carvings,Significant Buddhist-era petroglyphs and inscriptions near Gilgit.,35.92081,74.314044,Gilgit,Gilgit-Baltistan,Archaeological Site,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational,5.0
177,Gilgit War Memorial,A memorial commemorating historical military engagements in the Gilgit region.,35.92081,74.314044,Gilgit,Gilgit-Baltistan,Historical Site,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational,5.0
178,Singal Nala Valley,A scenic valley near Gilgit offering hiking and camping opportunities.,35.92081,74.314044,Gilgit,Gilgit-Baltistan,Valley,Hiking; Camping; Photography; Sightseeing; Nature Walks,500 PKR,3,family; friends; peaceful; relaxed,5.0
179,Naltar Valley,"A stunningly beautiful valley with three colorful lakes, ski resort, and pine forests.",36.171085,74.172390,Gilgit,Gilgit-Baltistan,Valley,Hiking; Skiing; Photography; Sightseeing; Nature Walks,3000 PKR,5,family; friends; couple; adventurous; peaceful,4.8
180,Naltar Lake (Bashkiri Lake),A vivid emerald-green lake in Naltar Valley surrounded by pine forests and snow peaks.,35.92081,74.314044,Gilgit,Gilgit-Baltistan,Lake,Hiking; Photography; Sightseeing; Picnicking,0 PKR,2.5,friends; relaxed; peaceful; meditative,5.0
181,Naltar Satrangi Lake,The middle Naltar lake known for its ever-changing colors from green to blue.,36.231632,74.106997,Gilgit,Gilgit-Baltistan,Lake,Hiking; Photography; Sightseeing,0 PKR,2.5,family; couple; friends; relaxed; peaceful,4.8
182,Naltar Upper Lake,The highest of the three Naltar lakes with crystal clear water and mountain reflections.,36.165136,74.17729,Gilgit,Gilgit-Baltistan,Lake,Hiking; Photography; Sightseeing,0 PKR,2.5,family; couple; friends; relaxed; peaceful,4.3
183,Naltar Ski Resort,Pakistan's premier ski resort in Naltar Valley offering skiing in winter months.,36.156010,74.184746,Gilgit,Gilgit-Baltistan,Adventure Spot,Skiing; Snowboarding; Photography; Sightseeing,3000 PKR,4,friends; family; adventurous; thrilling; energetic,5.0
184,Naltar Pine Forest,Dense pine forests in Naltar Valley ideal for hiking and nature photography.,35.92081,74.314044,Gilgit,Gilgit-Baltistan,Forest,Hiking; Photography; Birdwatching; Nature Walks,0 PKR,3,family; couple; solo; relaxed; peaceful; meditative,5.0
185,Jaglot Village,A village on the KKH near the junction point where the highway splits toward Skardu and Hunza.,35.68842,74.62412,Gilgit,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.2
186,Gilgit Heritage Museum,A museum in Gilgit displaying regional historical artifacts and cultural heritage items.,35.92081,74.314044,Gilgit,Gilgit-Baltistan,Museum,Photography; Sightseeing; Museum Visit,100 PKR,1.5,family; couple; cultural; educational,5.0
187,Thol Village,A small village near Gilgit known for its walnut trees and traditional lifestyle.,35.92081,74.314044,Gilgit,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,5.0
188,Jutial Nala Trek,A day-hiking trail from Jutial in Gilgit through forests to mountain viewpoints.,35.92081,74.314044,Gilgit,Gilgit-Baltistan,Adventure Spot,Trekking; Hiking; Photography,0 PKR,2.5,family; friends; adventurous; thrilling; energetic; meditative,5.0
189,Gilgit Suspension Bridge,A historic suspension bridge over the Gilgit River connecting to the old town area.,35.917911,74.336754,Gilgit,Gilgit-Baltistan,Bridge,Photography; Walking,0 PKR,0.5,friends; solo; adventurous; thrilling; cultural; educational,5.0
190,Babusar Road Junction,The road junction near Gilgit where the route to Babusar Pass and Kaghan Valley branches off.,35.917911,74.336754,Gilgit,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,family; couple; solo; peaceful; romantic,5.0
191,Damas Valley,A picturesque valley near Gilgit with lush green meadows and crystal streams.,35.893231,74.242977,Gilgit,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful,5.0
192,Pakora Valley,A lesser-known valley near Gilgit with pristine natural beauty and limited tourist traffic.,35.92081,74.314044,Gilgit,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful,5.0
193,Punial Valley,A historic valley near Gilgit with ancient ruins and traditional polo grounds.,35.9111,74.19474,Gilgit,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks; Polo Watching,0 PKR,5,family; couple; friends; relaxed; peaceful; cultural; educational,5.0
194,Imit Village,A traditional village in Punial Valley known for its historical fort ruins and orchards.,35.92081,74.314044,Gilgit,Gilgit-Baltistan,Village,Photography; Walking; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,5.0
195,Gilgit Riverside Walk,A walking path along the Gilgit River bank popular for evening strolls.,35.917911,74.336754,Gilgit,Gilgit-Baltistan,Park,Photography; Walking; Picnicking,0 PKR,3,family; couple; friends; relaxed; peaceful,5.0
196,Barmas Valley,An alpine valley near Naltar offering trekking and yak spotting opportunities.,35.9111,74.19474,Gilgit,Gilgit-Baltistan,Valley,Trekking; Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; adventurous; energetic; relaxed; peaceful; meditative,5.0
197,Gilgit Gemstone Market,A specialized market in Gilgit for locally mined gemstones and semi-precious stones.,35.92081,74.314044,Gilgit,Gilgit-Baltistan,Market,Shopping; Food Tasting,500 PKR,2,family; friends; laid-back; festive,5.0
198,Bargo Bala Viewpoint,An elevated viewpoint near Gilgit offering panoramic views of the city and river confluence.,36.049851,74.155749,Gilgit,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,family; couple; solo; peaceful; romantic,5.0
199,Phander Lake,A breathtaking turquoise lake in Ghizer Valley surrounded by mountains and meadows.,0.000000,0.000000,Phander,Gilgit-Baltistan,Lake,Camping; Photography; Boating; Fishing; Picnicking,1000 PKR,3,family; couple; friends; relaxed; peaceful; romantic,4.4
200,Khalti Lake,A scenic lake along the Gilgit-Chitral road with reflections of surrounding peaks.,0.000000,0.000000,Ghizer,Gilgit-Baltistan,Lake,Photography; Sightseeing; Picnicking,0 PKR,2.5,friends; relaxed; peaceful,4.4
201,Shandur Pass,The highest polo ground in the world at 3700m where the annual Shandur Polo Festival is held.,0.000000,0.000000,Ghizer,Gilgit-Baltistan,Pass,Hiking; Camping; Photography; Sightseeing; Polo Watching,500 PKR,2,friends; family; adventurous; festive; cultural,4.8
202,Shandur Lake,A lake near Shandur Pass surrounded by vast meadows used during the polo festival.,36.161069,73.139447,Ghizer,Gilgit-Baltistan,Lake,Photography; Sightseeing; Boating; Picnicking; Polo Watching,1000 PKR,2,couple; solo; peaceful; meditative,4.5
203,Gahkuch Village,"The capital of Ghizer District with a bazaar, traditional houses, and mountain views.",36.18591,73.7592,Gahkuch,Gilgit-Baltistan,Village,Photography; Shopping; Cultural Tours; Village Walks,0 PKR,2,family; couple; laid-back; peaceful; cultural; educational; festive,5.0
204,Ghizer River,A crystal-clear river flowing through the Ghizer Valley offering fishing and kayaking.,36.146425,73.854614,Ghizer,Gilgit-Baltistan,River,Photography; Sightseeing; Fishing; Kayaking,1500 PKR,3,friends; solo; adventurous; energetic,4.6
205,Teru Valley,A scenic side valley in Ghizer with terraced fields and juniper forests.,36.324397,73.41366,Ghizer,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful; meditative,5.0
206,Yasin Valley,A historic valley in Ghizer known for its ancient fort ruins and Wakhi culture.,0.000000,0.000000,Ghizer,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful; cultural; educational,4.3
207,Yasin Fort Ruins,The remains of an ancient fort in Yasin Valley with strategic views of the valley.,32.719024,72.995633,Ghizer,Gilgit-Baltistan,Fort,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational,4.3
208,Darkot Pass,A high mountain pass connecting Yasin Valley with Chitral known for historical trade routes.,36.647163,73.441390,Ghizer,Gilgit-Baltistan,Pass,Photography; Sightseeing,0 PKR,1.5,family; couple; friends; adventurous; peaceful; cultural; educational,5.0
209,Phander Village,A tranquil village on the shores of Phander Lake known for trout fishing.,36.351932,73.83021,Phander,Gilgit-Baltistan,Village,Photography; Fishing; Cultural Tours; Village Walks,500 PKR,2,family; couple; peaceful; cultural; relaxed,4.6
210,Handis Lake,A high-altitude lake near Phander accessible via a moderate trek through meadows.,36.56742,73.74202,Phander,Gilgit-Baltistan,Lake,Trekking; Photography; Sightseeing; Picnicking,0 PKR,2.5,family; couple; friends; adventurous; energetic; relaxed; peaceful,3.0
211,Ghizer Hot Springs,Natural hot springs along the Ghizer Valley used for bathing and healing.,36.189988,73.76199,Ghizer,Gilgit-Baltistan,Hot Spring,Photography; Hot Spring Bathing; Relaxation,300 PKR,1.5,family; couple; relaxed; peaceful,4.6
212,Shamran Valley,A lesser-known valley in Ghizer with walnut forests and traditional villages.,36.310306,73.379412,Ghizer,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful; meditative,4.0
213,Gupis Village,A traditional Khowar-speaking village with a fort ruin and beautiful surrounding landscapes.,36.351932,73.83021,Ghizer,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,peaceful; cultural; educational,5.0
214,Gupis Fort,Ruins of a strategic fort at the junction of valleys in the Gupis area.,36.170944,73.176641,Ghizer,Gilgit-Baltistan,Fort,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational,4.6
215,Pingal Lake,A small alpine lake near Gupis known for its serene atmosphere and reflection views.,36.16339,73.10539,Ghizer,Gilgit-Baltistan,Lake,Trekking; Photography; Sightseeing; Picnicking,0 PKR,2.5,family; couple; friends; relaxed; peaceful; romantic; meditative,4.6
216,Karumbar Lake,A high-altitude lake at the base of Karumbar Pass connecting Ghizer to Chitral.,36.6,73.1,Ghizer,Gilgit-Baltistan,Lake,Trekking; Photography; Sightseeing; Picnicking,0 PKR,2.5,family; couple; friends; relaxed; peaceful,3.0
217,Karumbar Pass,A mountain pass connecting the Ishkoman Valley in Ghizer with Chitral.,35.215274,74.475768,Ghizer,Gilgit-Baltistan,Pass,Photography; Sightseeing,0 PKR,1.5,family; couple; friends; adventurous; peaceful,4.6
218,Ishkoman Valley,A remote valley in northern Ghizer with diverse flora and Wakhi communities.,36.568120,73.742880,Ghizer,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; solo; relaxed; peaceful,5.0
